"radii","id","mask","mass","clumpId","color:0","color:1","color:2","linVelVec:0","linVelVec:1","linVelVec:2","angVelVec:0","angVelVec:1","angVelVec:2","linVelLen","angVelLen","SPH_Rho","SPH_Press","SPH_Neigh","normalStress:0","normalStress:1","normalStress:2","shearStress:0","shearStress:1","shearStress:2","normalStressNorm","forceVec:0","forceVec:1","forceVec:2","forceLen","torqueVec:0","torqueVec:1","torqueVec:2","torqueLen","materialId","Points:0","Points:1","Points:2"
1.6186,63,1,37302,-1,0,1,0,-0.2113,-0.033397,0,0,0,1.0072e-13,0.21392,1.0072e-13,-1,0,7,6.5697e+05,-2.3489e+05,0,0,0,0,6.977e+05,-27882,3.5664e+05,0,3.5773e+05,0,0,5.9488e-08,5.9488e-08,1,541.18,28.486,0
1.2697,64,1,18005,-1,0.5,0.5,0.5,-0.039806,0.025968,0,0,0,0.40174,0.047527,0.40174,-1,0,4,9.3332e+05,1.2831e+06,0,0,0,0,1.5866e+06,-4981.7,1.7697e+05,0,1.7704e+05,0,0,-7.567e-10,7.567e-10,1,570.85,2.8095,0
1.5616,65,1,33501,-1,0.85,0.85,0.85,-0.0051771,0.00050221,0,0,0,3.855e-15,0.0052014,3.855e-15,-1,0,5,1.7415e+06,3.6831e+05,0,0,0,0,1.78e+06,-265.32,3.2849e+05,0,3.2849e+05,0,0,1.1176e-08,1.1176e-08,1,58.672,27.255,0
1.2498,66,1,17171,-1,0.85,0.85,0.85,-0.29687,-0.019308,0,0,0,-2.1566e-13,0.29749,2.1566e-13,-1,0,6,7.6443e+05,-7.2228e+05,0,0,0,0,1.0517e+06,-21218,1.4694e+05,0,1.4847e+05,0,0,1.3635e-08,1.3635e-08,1,734.79,38.319,0
1.938,67,1,64028,-1,1,0,0,0.022197,-0.0078399,0,0,0,1.4611e-14,0.02354,1.4611e-14,-1,0,8,4.8793e+06,4.0995e+05,0,0,0,0,4.8964e+06,-804.37,6.2526e+05,0,6.2526e+05,0,0,1.3388e-07,1.3388e-07,1,199.44,8.19,0
1.6566,68,1,39989,-1,0.5,0.5,0.5,-0.10207,0.010763,0,0,0,0.035638,0.10264,0.035638,-1,0,6,5.8337e+06,70229,0,0,0,0,5.8342e+06,81028,4.0723e+05,0,4.1521e+05,0,0,-1.0897e+05,1.0897e+05,1,646.14,1.6297,0
1.4964,69,1,29472,-1,0.85,0.85,0.85,-0.19599,0.3851,0,0,0,-1.4466e-14,0.43211,1.4466e-14,-1,0,6,6.9912e+05,4.435e+05,0,0,0,0,8.2793e+05,-73638,4.3202e+05,0,4.3825e+05,0,0,-1.5185e-08,1.5185e-08,1,391.04,41.042,0
1.2444,70,1,16950,-1,0,1,0,-0.0028979,0.0013898,0,0,0,-3.3585e-14,0.0032139,3.3585e-14,-1,0,5,2.9973e+06,-5.1855e+05,0,0,0,0,3.0418e+06,71.675,1.6619e+05,0,1.6619e+05,0,0,-4.6493e-08,4.6493e-08,1,109.13,16.256,0
1.1614,71,1,13780,-1,0.85,0.85,0.85,0.038998,-0.010107,0,0,0,1.1589e-13,0.040287,1.1589e-13,-1,0,6,3.0985e+06,2.0658e+05,0,0,0,0,3.1054e+06,-406.02,1.3492e+05,0,1.3492e+05,0,0,-1.365e-08,1.365e-08,1,201.18,30.032,0
1.431,72,1,25779,-1,0,1,0,0.063583,0.0028338,0,0,0,-5.1022e-15,0.063646,5.1022e-15,-1,0,6,1.53e+06,6.3984e+05,0,0,0,0,1.6584e+06,-2093,2.5551e+05,0,2.5552e+05,0,0,-1.1513e-07,1.1513e-07,1,262.49,12.576,0
1.6564,73,1,39975,-1,1,0,0,-0.17494,-0.0018712,0,0,0,-1.1412e-13,0.17495,1.1412e-13,-1,0,7,3.504e+06,-7.499e+05,0,0,0,0,3.5833e+06,-166.37,3.8228e+05,0,3.8228e+05,0,0,1.0454e-07,1.0454e-07,1,506.18,10.926,0
1.5371,74,1,31948,-1,1,0,0,-0.083621,0.0025504,0,0,0,5.4723e-14,0.08366,5.4723e-14,-1,0,7,2.6038e+06,1.1491e+06,0,0,0,0,2.846e+06,-2324.6,3.2209e+05,0,3.221e+05,0,0,2.305e-08,2.305e-08,1,559.83,13.618,0
1.8887,75,1,59269,-1,0.85,0.85,0.85,-0.14325,-0.031822,0,0,0,1.8688e-14,0.14675,1.8688e-14,-1,0,6,1.872e+06,3.0108e+05,0,0,0,0,1.8961e+06,-49380,5.8103e+05,0,5.8312e+05,0,0,-7.3895e-08,7.3895e-08,1,466.55,28.984,0
1.8425,76,1,55018,-1,0.9,0.9,0.9,0.00053167,-9.9667e-05,0,0,0,1.2926e-16,0.00054093,1.2926e-16,-1,0,3,4.231e+05,-2.1552e+05,0,0,0,0,4.7483e+05,175.56,5.3944e+05,0,5.3944e+05,0,0,5.0641e-09,5.0641e-09,1,115.64,44.648,0
1.7318,77,1,45688,-1,1,0,0,-0.41455,-0.10329,0,0,0,6.7381e-14,0.42722,6.7381e-14,-1,0,7,3.2988e+06,-1.4657e+06,0,0,0,0,3.6098e+06,23586,4.5759e+05,0,4.582e+05,0,0,3.5515e-07,3.5515e-07,1,738.28,21.17,0
1.5624,78,1,33547,-1,1,0,0,0.052193,-0.011797,0,0,0,1.0574e-14,0.05351,1.0574e-14,-1,0,6,3.6689e+06,6.099e+05,0,0,0,0,3.7193e+06,3007.9,3.2916e+05,0,3.2917e+05,0,0,2.7096e-08,2.7096e-08,1,240.26,12.004,0
1.1801,79,1,14455,-1,0,1,0,-0.17757,0.012127,0,0,0,-1.4292e-13,0.17799,1.4292e-13,-1,0,5,7.8937e+05,-2.0483e+05,0,0,0,0,8.1551e+05,-13443,1.4589e+05,0,1.4651e+05,0,0,-2.3865e-08,2.3865e-08,1,504.71,16.025,0
1.7353,80,1,45965,-1,0,1,0,0.028962,-0.0041638,0,0,0,-6.0262e-15,0.02926,6.0262e-15,-1,0,7,1.3711e+06,-1.4377e+06,0,0,0,0,1.9867e+06,3898.3,4.5007e+05,0,4.5009e+05,0,0,3.1636e-08,3.1636e-08,1,180.96,17.169,0
1.6566,81,1,39994,-1,0,1,0,-0.31092,-0.01757,0,0,0,5.3179e-14,0.31141,5.3179e-14,-1,0,6,3.0916e+05,-85525,0,0,0,0,3.2077e+05,90265,4.0776e+05,0,4.1763e+05,0,0,2.1495e-07,2.1495e-07,1,728.08,18.666,0
